"screen","target","trigger","action","destination","variable_update","condition"
"WEB_01_Home","Retail save button","click","toggle state","WEB_01_Home","SavedCount +/- 1",""
"WEB_01_Home","Catalog view more","click","navigate","WEB_02_AllPhones","",""

"WEB_02_AllPhones","Breadcrumb home","click","navigate","WEB_01_Home","",""
"WEB_02_AllPhones","Breadcrumb cell phones","click","navigate","WEB_01_Home#catalog","",""
"WEB_02_AllPhones","Category filter buttons","click","swap variant","WEB_02_AllPhones filtered","",""
"WEB_02_AllPhones","Quick filter chips","click","swap variant","WEB_02_AllPhones filtered","",""
"WEB_02_AllPhones","Show all carrier","click","expand collapse","WEB_02_AllPhones","",""
"WEB_02_AllPhones","Show all model","click","expand collapse","WEB_02_AllPhones","",""
"WEB_02_AllPhones","Show all brand","click","expand collapse","WEB_02_AllPhones","",""
"WEB_02_AllPhones","Price set","click","swap variant","WEB_02_AllPhones price filtered","",""
"WEB_02_AllPhones","Price quick filter","click","swap variant","WEB_02_AllPhones price filtered","",""
"WEB_02_AllPhones","PLP product card body","click","navigate","WEB_03_ProductDetails","",""
"WEB_02_AllPhones","PLP add to cart","click","stay","WEB_02_AllPhones","CartCount = CartCount + 1",""
"WEB_02_AllPhones","PLP save","click","toggle state","WEB_02_AllPhones","SavedCount +/- 1",""
"WEB_02_AllPhones","PLP compare checkbox add","click","add compare","WEB_02_AllPhones","CompareCount = CompareCount + 1","CompareCount < 4"
"WEB_02_AllPhones","PLP compare checkbox remove","click","remove compare","WEB_02_AllPhones","CompareCount = CompareCount - 1","CompareCount > 0"
"WEB_02_AllPhones","PLP compare checkbox blocked","click","show modal","MODAL_CompareLimit","","CompareCount >= 4 and unchecked item selected"
"WEB_02_AllPhones","Compare tray remove","click","remove compared item","WEB_02_AllPhones","CompareCount = CompareCount - 1","CompareCount > 0"
"WEB_02_AllPhones","Compare tray collapse","click","toggle tray state","WEB_02_AllPhones","CompareTrayCollapsed = not CompareTrayCollapsed",""
"WEB_02_AllPhones","Compare tray compare","click","navigate","WEB_04_Compare","","CompareCount >= 2"
"WEB_02_AllPhones","Compare tray compare disabled","click","stay","WEB_02_AllPhones","","CompareCount < 2"
"WEB_02_AllPhones","New rail card any","click","navigate","WEB_03_ProductDetails","",""

"WEB_03_ProductDetails","Breadcrumb nexium","click","navigate","WEB_01_Home","",""
"WEB_03_ProductDetails","Breadcrumb cell phones","click","navigate","WEB_02_AllPhones","",""
"WEB_03_ProductDetails","Gallery thumbnail","click","swap variant","WEB_03_ProductDetails image variant","",""
"WEB_03_ProductDetails","Color swatch","click","swap variant","WEB_03_ProductDetails image variant","",""
"WEB_03_ProductDetails","Carrier chip","click","toggle selected","WEB_03_ProductDetails","",""
"WEB_03_ProductDetails","Storage chip","click","toggle selected","WEB_03_ProductDetails","",""
"WEB_03_ProductDetails","Pricing option","click","toggle selected","WEB_03_ProductDetails","",""
"WEB_03_ProductDetails","Protection plan chip","click","toggle selected","WEB_03_ProductDetails","",""
"WEB_03_ProductDetails","Availability card","click","toggle selected","WEB_03_ProductDetails","",""
"WEB_03_ProductDetails","Add to cart","click","stay","WEB_03_ProductDetails","CartCount = CartCount + 1",""
"WEB_03_ProductDetails","Sticky add to cart","click","stay","WEB_03_ProductDetails","CartCount = CartCount + 1",""
"WEB_03_ProductDetails","Save","click","toggle state","WEB_03_ProductDetails","SavedCount +/- 1",""
"WEB_03_ProductDetails","Accessory add to cart","click","stay","WEB_03_ProductDetails","CartCount = CartCount + 1",""
"WEB_03_ProductDetails","Related add to cart","click","stay","WEB_03_ProductDetails","CartCount = CartCount + 1",""

"WEB_04_Compare","Back to products","click","navigate","WEB_02_AllPhones","",""
"WEB_04_Compare","All specs toggle","click","expand collapse","WEB_04_Compare","",""
"WEB_04_Compare","Reviews toggle","click","expand collapse","WEB_04_Compare","",""
"WEB_04_Compare","Availability toggle","click","expand collapse","WEB_04_Compare","",""
"WEB_04_Compare","Highlight differences","click","toggle style","WEB_04_Compare","",""
"WEB_04_Compare","Show more specs","click","toggle rows","WEB_04_Compare","",""
"WEB_04_Compare","Remove compared product","click","remove column","WEB_04_Compare","CompareCount = CompareCount - 1","CompareCount > 0"
"WEB_04_Compare","Add to cart on compare card","click","stay","WEB_04_Compare","CartCount = CartCount + 1",""
"WEB_04_Compare","Save on compare card","click","toggle state","WEB_04_Compare","SavedCount +/- 1",""
"WEB_04_Compare","Auto redirect empty","state","navigate","WEB_04_Compare_Empty","","CompareCount < 2"
"WEB_04_Compare_Empty","Back to all cell phones","click","navigate","WEB_02_AllPhones","",""

"WEB_05_Cart","Cart qty plus","click","update quantity","WEB_05_Cart","CartCount = CartCount + 1",""
"WEB_05_Cart","Cart qty minus","click","update quantity","WEB_05_Cart","CartCount = CartCount - 1","CartCount > 0"
"WEB_05_Cart","Cart remove","click","remove line","WEB_05_Cart","CartCount = CartCount - 1","CartCount > 0"
"WEB_05_Cart","Save for later","click","move item","WEB_05_Cart","CartCount = CartCount - 1; SavedCount = SavedCount + 1",""
"WEB_05_Cart","Saved add to cart","click","move item","WEB_05_Cart","SavedCount = SavedCount - 1; CartCount = CartCount + 1",""
"WEB_05_Cart","Saved remove","click","remove line","WEB_05_Cart","SavedCount = SavedCount - 1","SavedCount > 0"
"WEB_05_Cart","Custom qty plus","click","update quantity","WEB_05_Cart","",""
"WEB_05_Cart","Custom qty minus","click","update quantity","WEB_05_Cart","",""
"WEB_05_Cart","Custom remove","click","remove custom line","WEB_05_Cart","CustomOrderCount = CustomOrderCount - 1","CustomOrderCount > 0"
"WEB_05_Cart","Custom clear all","click","clear custom list","WEB_05_Cart","CustomOrderCount = 0",""
"WEB_05_Cart","Promo apply","click","toggle promo state","WEB_05_Cart","PromoApplied = true","Valid code"
"WEB_05_Cart","Promo remove","click","toggle promo state","WEB_05_Cart","PromoApplied = false",""
"WEB_05_Cart","Promo help toggle","click","expand collapse","WEB_05_Cart","",""
"WEB_05_Cart","Recommendation add to cart","click","stay","WEB_05_Cart","CartCount = CartCount + 1",""
"WEB_05_Cart","Recommendation next page","click","swap variant","WEB_05_Cart","RecommendationPage = RecommendationPage + 1",""
"WEB_05_Cart","Continue shopping","click","navigate","WEB_01_Home","",""
"WEB_05_Cart","Auto redirect empty","state","navigate","WEB_05_Cart_Empty","","CartCount = 0 and CustomOrderCount = 0"

"WEB_06_SavedItems","Saved add to cart","click","move item","WEB_06_SavedItems","SavedCount = SavedCount - 1; CartCount = CartCount + 1",""
"WEB_06_SavedItems","Saved remove","click","remove item","WEB_06_SavedItems","SavedCount = SavedCount - 1","SavedCount > 0"
"WEB_06_SavedItems","Empty browse link","click","navigate","WEB_02_AllPhones","",""

"WEB_07_CustomizationStudio","Product select","change","swap product variant","WEB_07_CustomizationStudio","",""
"WEB_07_CustomizationStudio","Template button","click","set active template","WEB_07_CustomizationStudio","",""
"WEB_07_CustomizationStudio","Custom text input","input","update preview","WEB_07_CustomizationStudio","",""
"WEB_07_CustomizationStudio","Text color input","input","update preview","WEB_07_CustomizationStudio","",""
"WEB_07_CustomizationStudio","Text font select","change","update preview","WEB_07_CustomizationStudio","",""
"WEB_07_CustomizationStudio","Text size slider","input","update preview","WEB_07_CustomizationStudio","",""
"WEB_07_CustomizationStudio","Text placement select","change","update preview","WEB_07_CustomizationStudio","",""
"WEB_07_CustomizationStudio","Text preset chip","click","set text","WEB_07_CustomizationStudio","",""
"WEB_07_CustomizationStudio","Sticker add","click","add sticker","WEB_07_CustomizationStudio","","Sticker count < 6"
"WEB_07_CustomizationStudio","Sticker duplicate","click","duplicate sticker","WEB_07_CustomizationStudio","","Sticker count < 6"
"WEB_07_CustomizationStudio","Sticker remove","click","remove sticker","WEB_07_CustomizationStudio","",""
"WEB_07_CustomizationStudio","Accent select","change","update preview","WEB_07_CustomizationStudio","",""
"WEB_07_CustomizationStudio","Surprise me","click","randomize","WEB_07_CustomizationStudio","",""
"WEB_07_CustomizationStudio","Reset design","click","reset","WEB_07_CustomizationStudio","",""
"WEB_07_CustomizationStudio","Preview and submit","click","submit design","WEB_07_CustomizationStudio","CustomOrderCount = CustomOrderCount + 1",""
"WEB_07_CustomizationStudio","Preview and submit optional route","click","navigate","WEB_05_Cart","",""
"WEB_07_CustomizationStudio","Download PNG","click","show info overlay","WEB_07_CustomizationStudio","",""
"WEB_07_CustomizationStudio","Copy design summary","click","show toast overlay","WEB_07_CustomizationStudio","",""

"WEB_08_StoreLocator","Store card","click","set active store","WEB_08_StoreLocator","SelectedBranch = branch label",""
"WEB_08_StoreLocator","Select branch button","click","set active store","WEB_08_StoreLocator","SelectedBranch = branch label",""
"WEB_08_StoreLocator","Map pin","click","set active store","WEB_08_StoreLocator","SelectedBranch = mapped branch",""
"WEB_08_StoreLocator","Search submit","click","focus matching store","WEB_08_StoreLocator","",""
"WEB_08_StoreLocator","Map zoom in","click","map zoom variant","WEB_08_StoreLocator","",""
"WEB_08_StoreLocator","Map zoom out","click","map zoom variant","WEB_08_StoreLocator","",""
"WEB_08_StoreLocator","Use my location","click","show geolocation info overlay","WEB_08_StoreLocator","",""

"MOB_GLOBAL","Tab home","click","navigate","MOB_01_Home","",""
"MOB_GLOBAL","Tab browse","click","navigate","MOB_02_Browse","",""
"MOB_GLOBAL","Tab saved","click","navigate","MOB_06_Saved","",""
"MOB_GLOBAL","Tab cart","click","navigate","MOB_07_Cart","",""
"MOB_GLOBAL","Tab account","click","navigate","MOB_04_Account","",""

"MOB_01_Home","Home mini product card","click","navigate","MOB_03_Product","",""
"MOB_01_Home","Home category chip","click","navigate","MOB_02_Browse filtered","",""
"MOB_02_Browse","Browse filter chip","click","swap variant","MOB_02_Browse filtered","",""
"MOB_02_Browse","Browse product card","click","navigate","MOB_03_Product","",""
"MOB_03_Product","Sticky add","click","navigate","MOB_07_Cart","CartCount = CartCount + 1",""
"MOB_04_Account","Customization studio card","click","navigate","MOB_05_Customization","",""
"MOB_05_Customization","Submit customization","click","navigate","MOB_07_Cart","CustomOrderCount = CustomOrderCount + 1",""
"MOB_06_Saved","Add to cart","click","navigate","MOB_07_Cart","SavedCount = SavedCount - 1; CartCount = CartCount + 1",""
"MOB_07_Cart","Cart qty plus","click","update quantity","MOB_07_Cart","CartCount = CartCount + 1",""
"MOB_07_Cart","Cart qty minus","click","update quantity","MOB_07_Cart","CartCount = CartCount - 1","CartCount > 0"
